Linux 5.4.0-53-generic (stephano-MS-7821) 	11/29/2020 	_x86_64_	(8 CPU)

avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           3.30    0.04    1.60   22.67    0.00   72.38

Device            r/s     w/s     rkB/s     wkB/s   rrqm/s   wrqm/s  %rrqm  %wrqm r_await w_await aqu-sz rareq-sz wareq-sz  svctm  %util
loop14           0.10    0.00      0.14      0.00     0.00     0.00   0.00   0.00    5.83    0.00   0.00     1.43     0.00   0.32   0.00
loop15           0.01    0.00      0.02      0.00     0.00     0.00   0.00   0.00   81.88    0.00   0.00     2.83     0.00   2.93   0.00
loop16           0.00    0.00      0.01      0.00     0.00     0.00   0.00   0.00   65.63    0.00   0.00     2.42     0.00   2.74   0.00
loop17           0.01    0.00      0.15      0.00     0.00     0.00   0.00   0.00  149.90    0.00   0.00    21.88     0.00   2.61   0.00
loop18           0.01    0.00      0.15      0.00     0.00     0.00   0.00   0.00  120.12    0.00   0.00    10.89     0.00   1.45   0.00
loop19           0.02    0.00      0.17      0.00     0.00     0.00   0.00   0.00   48.86    0.00   0.00     7.02     0.00   1.18   0.00
loop20           0.03    0.00      0.07      0.00     0.00     0.00   0.00   0.00   18.75    0.00   0.00     2.38     0.00   0.71   0.00
loop21           0.00    0.00      0.01      0.00     0.00     0.00   0.00   0.00   58.59    0.00   0.00     2.59     0.00   2.82   0.00
loop22           0.01    0.00      0.05      0.00     0.00     0.00   0.00   0.00   72.17    0.00   0.00     7.95     0.00   2.57   0.00
loop23           0.00    0.00      0.01      0.00     0.00     0.00   0.00   0.00   41.26    0.00   0.00     2.42     0.00   2.53   0.00
loop24           0.08    0.00      0.22      0.00     0.00     0.00   0.00   0.00    0.04    0.00   0.00     2.71     0.00   0.30   0.00
loop25           0.04    0.00      0.18      0.00     0.00     0.00   0.00   0.00    0.03    0.00   0.00     4.77     0.00   0.35   0.00

avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           3.52    0.00    1.13    1.26    0.00   94.10

Device            r/s     w/s     rkB/s     wkB/s   rrqm/s   wrqm/s  %rrqm  %wrqm r_await w_await aqu-sz rareq-sz wareq-sz  svctm  %util
